Year,Month,Item-Code,Description,Combined Inflation,Status,
2015,January,1.1.01.1.1.01.P,rice_PDS,-1.66,F,
2015,February,1.1.01.1.1.01.P,rice_PDS,-4.42,F,
2015,March,1.1.01.1.1.01.P,rice_PDS,-4.42,F,
2015,April,1.1.01.1.1.01.P,rice_PDS,-4.65,F,
2015,May,1.1.01.1.1.01.P,rice_PDS,-4.65,F,
2015,June,1.1.01.1.1.01.P,rice_PDS,5.53,F,
2015,July,1.1.01.1.1.01.P,rice_PDS,5.86,F,
2015,August,1.1.01.1.1.01.P,rice_PDS,17.14,F,
2015,September,1.1.01.1.1.01.P,rice_PDS,17.11,F,
2015,October,1.1.01.1.1.01.P,rice_PDS,11.37,F,
2015,November,1.1.01.1.1.01.P,rice_PDS,11.61,F,
2015,December,1.1.01.1.1.01.P,rice_PDS,11.48,F,
2016,January,1.1.01.1.1.01.P,rice_PDS,-3.37,F,
2016,February,1.1.01.1.1.01.P,rice_PDS,-1.04,F,
2016,March,1.1.01.1.1.01.P,rice_PDS,-3.01,F,
2016,April,1.1.01.1.1.01.P,rice_PDS,-2.78,F,
2016,May,1.1.01.1.1.01.P,rice_PDS,-9.40,F,
2016,June,1.1.01.1.1.01.P,rice_PDS,-18.34,F,
2016,July,1.1.01.1.1.01.P,rice_PDS,-18.60,F,
2016,August,1.1.01.1.1.01.P,rice_PDS,-16.61,F,
2016,September,1.1.01.1.1.01.P,rice_PDS,-16.91,F,
2016,October,1.1.01.1.1.01.P,rice_PDS,-12.51,F,
2016,November,1.1.01.1.1.01.P,rice_PDS,-12.71,F,
2016,December,1.1.01.1.1.01.P,rice_PDS,-9.09,F,
2017,January,1.1.01.1.1.01.P,rice_PDS,-3.72,F,
2017,February,1.1.01.1.1.01.P,rice_PDS,-2.92,F,
2017,March,1.1.01.1.1.01.P,rice_PDS,-0.60,F,
2017,April,1.1.01.1.1.01.P,rice_PDS,-0.48,F,
2017,May,1.1.01.1.1.01.P,rice_PDS,6.79,F,
2017,June,1.1.01.1.1.01.P,rice_PDS,7.06,F,
2017,July,1.1.01.1.1.01.P,rice_PDS,7.06,F,
2017,August,1.1.01.1.1.01.P,rice_PDS,5.26,F,
2017,September,1.1.01.1.1.01.P,rice_PDS,5.53,F,
2017,October,1.1.01.1.1.01.P,rice_PDS,5.40,F,
2017,November,1.1.01.1.1.01.P,rice_PDS,5.40,F,
2017,December,1.1.01.1.1.01.P,rice_PDS,0.96,F,
2018,January,1.1.01.1.1.01.P,rice_PDS,1.21,F,
2018,February,1.1.01.1.1.01.P,rice_PDS,0.84,F,
2018,March,1.1.01.1.1.01.P,rice_PDS,0.48,F,
2018,April,1.1.01.1.1.01.P,rice_PDS,0.48,F,
2018,May,1.1.01.1.1.01.P,rice_PDS,0.96,F,
2018,June,1.1.01.1.1.01.P,rice_PDS,5.88,F,
2018,July,1.1.01.1.1.01.P,rice_PDS,0.96,F,
2018,August,1.1.01.1.1.01.P,rice_PDS,0.24,F,
2018,September,1.1.01.1.1.01.P,rice_PDS,0.24,F,
2018,October,1.1.01.1.1.01.P,rice_PDS,0.00,F,
2018,November,1.1.01.1.1.01.P,rice_PDS,0.00,F,
2018,December,1.1.01.1.1.01.P,rice_PDS,0.24,F,
2019,January,1.1.01.1.1.01.P,rice_PDS,1.91,F,
2019,February,1.1.01.1.1.01.P,rice_PDS,1.91,F,
2019,March,1.1.01.1.1.01.P,rice_PDS,1.91,F,
2019,April,1.1.01.1.1.01.P,rice_PDS,1.91,F,
2019,May,1.1.01.1.1.01.P,rice_PDS,1.66,F,
2019,June,1.1.01.1.1.01.P,rice_PDS,-6.91,F,
2019,July,1.1.01.1.1.01.P,rice_PDS,-2.38,F,
2019,August,1.1.01.1.1.01.P,rice_PDS,-2.38,F,
2019,September,1.1.01.1.1.01.P,rice_PDS,-8.19,F,
2019,October,1.1.01.1.1.01.P,rice_PDS,-8.33,F,
2019,November,1.1.01.1.1.01.P,rice_PDS,-8.33,F,
2019,December,1.1.01.1.1.01.P,rice_PDS,-8.33,F,
2020,January,1.1.01.1.1.01.P,rice_PDS,-9.84,F,
2020,February,1.1.01.1.1.01.P,rice_PDS,-9.84,F,
2020,June,1.1.01.1.1.01.P,rice_PDS,2.43,F,
2020,July,1.1.01.1.1.01.P,rice_PDS,2.68,F,
2020,August,1.1.01.1.1.01.P,rice_PDS,-0.61,F,
2020,September,1.1.01.1.1.01.P,rice_PDS,9.96,F,
2020,October,1.1.01.1.1.01.P,rice_PDS,9.09,F,
2020,November,1.1.01.1.1.01.P,rice_PDS,7.79,F,
2020,December,1.1.01.1.1.01.P,rice_PDS,9.48,F,
2021,January,1.1.01.1.1.01.P,rice_PDS,9.48,F,
2021,February,1.1.01.1.1.01.P,rice_PDS,9.48,F,
2021,July,1.1.01.1.1.01.P,rice_PDS,-3.44,F,
2021,August,1.1.01.1.1.01.P,rice_PDS,-0.24,F,
2021,September,1.1.01.1.1.01.P,rice_PDS,-4.12,F,
2021,October,1.1.01.1.1.01.P,rice_PDS,-2.98,F,
2021,November,1.1.01.1.1.01.P,rice_PDS,-1.81,F,
2021,December,1.1.01.1.1.01.P,rice_PDS,-3.32,F,
2022,January,1.1.01.1.1.01.P,rice_PDS,-3.32,F,
2022,February,1.1.01.1.1.01.P,rice_PDS,-3.32,F,
2022,March,1.1.01.1.1.01.P,rice_PDS,-3.32,F,
2022,April,1.1.01.1.1.01.P,rice_PDS,-0.47,F,
2022,May,1.1.01.1.1.01.P,rice_PDS,0.37,F,
2022,June,1.1.01.1.1.01.P,rice_PDS,0.61,F,
2022,July,1.1.01.1.1.01.P,rice_PDS,0.61,F,
2022,August,1.1.01.1.1.01.P,rice_PDS,0.61,F,
2022,September,1.1.01.1.1.01.P,rice_PDS,0.61,F,
2022,October,1.1.01.1.1.01.P,rice_PDS,0.00,F,
2022,November,1.1.01.1.1.01.P,rice_PDS,0.00,F,
2022,December,1.1.01.1.1.01.P,rice_PDS,0.00,F,
2023,January,1.1.01.1.1.01.P,rice_PDS,-21.60,F,
2023,February,1.1.01.1.1.01.P,rice_PDS,-21.60,F,
2023,March,1.1.01.1.1.01.P,rice_PDS,-21.60,F,
2023,April,1.1.01.1.1.01.P,rice_PDS,-23.84,F,
2023,May,1.1.01.1.1.01.P,rice_PDS,-21.47,F,
2023,June,1.1.01.1.1.01.P,rice_PDS,-21.95,F,
2023,July,1.1.01.1.1.01.P,rice_PDS,-21.95,F,
2023,August,1.1.01.1.1.01.P,rice_PDS,-21.95,F,
2023,September,1.1.01.1.1.01.P,rice_PDS,-21.95,F,
2023,October,1.1.01.1.1.01.P,rice_PDS,-21.96,F,
