year_month,Description,Rural,Urban,Combined,combined_inf_percentage,rural_inf_percentage,urban_inf_percentage
2013-01-01,Cereals and products,107.5,110.5,108.4,0.0,0.0,0.0
2013-02-01,Cereals and products,109.2,112.9,110.4,1.845018450184499,1.5813953488372112,2.1719457013574806
2013-03-01,Cereals and products,110.2,113.9,111.4,0.9057971014492683,0.9157509157509125,0.8857395925597977
2013-04-01,Cereals and products,110.2,114.6,111.6,0.17953321364452268,0.0,0.6145741878841093
2013-05-01,Cereals and products,110.9,115.4,112.3,0.6272401433691677,0.6352087114337657,0.6980802792321272
2013-06-01,Cereals and products,112.3,117.0,113.8,1.3357079252003468,1.2623985572587815,1.3864818024263315
2013-07-01,Cereals and products,113.4,117.8,114.8,0.8787346221441172,0.9795191451469343,0.6837606837606813
2013-08-01,Cereals and products,114.3,118.3,115.6,0.6968641114982521,0.7936507936507908,0.4244482173174857
2013-09-01,Cereals and products,115.4,118.6,116.4,0.6920415224913601,0.9623797025371861,0.2535925612848766
2013-10-01,Cereals and products,116.3,118.9,117.1,0.6013745704467333,0.7798960138648114,0.2529510961214232
2013-11-01,Cereals and products,117.3,119.8,118.1,0.853970964987183,0.8598452278589797,0.7569386038687842
2013-12-01,Cereals and products,118.4,120.5,119.1,0.8467400508044065,0.9377664109121886,0.5843071786310494
2014-01-01,Cereals and products,118.9,121.2,119.6,0.4198152812762368,0.4222972972973027,0.5809128630705374
2014-02-01,Cereals and products,119.4,121.9,120.2,0.5016722408026864,0.420521446593769,0.5775577557755707
2014-03-01,Cereals and products,120.1,122.1,120.7,0.4159733777038266,0.5862646566163976,0.1640689089417391
2014-04-01,Cereals and products,120.2,122.5,120.9,0.1657000828500399,0.08326394671107629,0.3276003276003303
2014-05-01,Cereals and products,120.3,122.7,121.1,0.16542597187758634,0.08319467554076532,0.16326530612245094
2014-06-01,Cereals and products,120.7,123.1,121.5,0.3303055326176807,0.33250207813799726,0.32599837000815146
2014-07-01,Cereals and products,121.7,123.8,122.4,0.7407407407407529,0.8285004142501995,0.5686433793663737
2014-08-01,Cereals and products,121.8,124.8,122.7,0.2450980392156854,0.08216926869351049,0.8077544426494443
2014-09-01,Cereals and products,122.3,124.2,122.9,0.16299918500408683,0.4105090311986803,-0.48076923076922906
2014-10-01,Cereals and products,122.6,124.6,123.2,0.24410089503661414,0.24529844644316512,0.32206119162641045
2014-11-01,Cereals and products,122.7,124.5,123.3,0.08116883116882079,0.08156606851550396,-0.08025682182984939
2014-12-01,Cereals and products,122.4,124.0,122.9,-0.32441200324411223,-0.24449877750610804,-0.40160642570281624
2015-01-01,Cereals and products,123.1,124.0,123.4,0.40683482506103097,0.5718954248365993,0.0
2015-02-01,Cereals and products,123.4,124.3,123.7,0.24311183144245518,0.2437043054427379,0.24193548387096975
2015-03-01,Cereals and products,123.3,124.0,123.5,-0.16168148746968924,-0.08103727714749986,-0.24135156878519748
2015-04-01,Cereals and products,123.3,123.8,123.5,0.0,0.0,-0.1612903225806428
2015-05-01,Cereals and products,123.5,123.8,123.6,0.08097165991902688,0.16220600162206722,0.0
2015-06-01,Cereals and products,124.1,123.6,123.9,0.24271844660195274,0.4858299595141613,-0.1615508885298933
2015-07-01,Cereals and products,124.0,123.2,123.7,-0.16142050040355294,-0.08058017727639033,-0.3236245954692518
2015-08-01,Cereals and products,124.7,123.1,124.2,0.4042037186742009,0.5645161290322553,-0.08116883116884299
2015-09-01,Cereals and products,125.1,123.4,124.6,0.32206119162641045,0.3207698476343168,0.2437043054427379
2015-10-01,Cereals and products,125.6,123.6,125.0,0.32102728731941976,0.3996802557953538,0.16207455429497752
2015-11-01,Cereals and products,126.1,124.0,125.4,0.32000000000000917,0.398089171974525,0.3236245954692629
2015-12-01,Cereals and products,126.3,124.3,125.7,0.23923444976077235,0.15860428231562196,0.24193548387096975
2016-01-01,Cereals and products,126.8,124.7,126.1,0.31821797931581575,0.39588281868567776,0.32180209171359664
2016-02-01,Cereals and products,127.1,124.8,126.4,0.23790642347343294,0.23659305993690705,0.0801924619085792
2016-03-01,Cereals and products,127.3,124.8,126.5,0.07911392405062223,0.15735641227381247,0.0
2016-04-01,Cereals and products,127.4,124.9,126.6,0.07905138339920903,0.07855459544383603,0.08012820512821595
2016-05-01,Cereals and products,127.6,125.0,126.8,0.15797788309637184,0.15698587127157548,0.08006405124099114
2016-06-01,Cereals and products,128.6,125.9,127.7,0.7097791798107211,0.7836990595611271,0.7200000000000095
2016-07-01,Cereals and products,129.3,126.8,128.5,0.6264682850430692,0.5443234836703059,0.7148530579825119
2016-08-01,Cereals and products,130.1,127.6,129.3,0.6225680933852118,0.6187161639597649,0.6309148264984188
2016-09-01,Cereals and products,130.8,128.1,129.9,0.46403712296982924,0.5380476556495095,0.39184952978057463
2016-10-01,Cereals and products,131.3,128.7,130.5,0.4618937644341736,0.3822629969419067,0.4683840749414525
2016-11-01,Cereals and products,132.0,130.2,131.4,0.6896551724137945,0.5331302361005319,1.1655011655011593
2016-12-01,Cereals and products,132.6,131.6,132.3,0.6849315068493178,0.4545454545454408,1.0752688172043001
2017-01-01,Cereals and products,133.1,132.2,132.8,0.3779289493575311,0.37707390648566985,0.45592705167172287
2017-02-01,Cereals and products,133.3,132.8,133.1,0.22590361445782303,0.15026296018032514,0.4538577912254427
2017-03-01,Cereals and products,133.6,132.7,133.3,0.15026296018032514,0.22505626406601476,-0.07530120481928915
2017-04-01,Cereals and products,133.2,132.7,133.0,-0.22505626406602586,-0.29940119760479833,0.0
2017-05-01,Cereals and products,133.1,132.6,132.9,-0.07518796992480592,-0.07507507507507061,-0.07535795026374359
2017-06-01,Cereals and products,133.5,132.9,133.3,0.3009781790820121,0.3005259203606281,0.2262443438914019
2017-07-01,Cereals and products,134.0,132.8,133.6,0.22505626406601476,0.3745318352059934,-0.07524454477050302
2017-08-01,Cereals and products,134.8,133.2,134.3,0.5239520958083999,0.5970149253731405,0.30120481927709
2017-09-01,Cereals and products,135.2,133.6,134.7,0.29784065524942616,0.2967359050444873,0.30030030030030463
2017-10-01,Cereals and products,135.9,133.9,135.3,0.44543429844099425,0.5177514792899629,0.22455089820359042
2017-11-01,Cereals and products,136.3,134.3,135.7,0.2956393200295393,0.29433406916850036,0.29873039581778116
2017-12-01,Cereals and products,136.4,134.4,135.8,0.07369196757556207,0.07336757153337814,0.07446016381236209
2018-01-01,Cereals and products,136.6,134.6,136.0,0.14727540500736325,0.14662756598240456,0.14880952380951218
2018-02-01,Cereals and products,136.4,134.8,135.9,-0.07352941176470562,-0.14641288433381305,0.14858841010403356
2018-03-01,Cereals and products,136.8,135.0,136.2,0.2207505518763586,0.2932551319648091,0.14836795252224366
2018-04-01,Cereals and products,137.1,135.0,136.4,0.1468428781204345,0.21929824561401912,0.0
2018-05-01,Cereals and products,137.4,135.0,136.6,0.14662756598240456,0.2188183807440014,0.0
2018-06-01,Cereals and products,137.6,135.3,136.9,0.21961932650074178,0.14556040756912303,0.22222222222223476
2018-07-01,Cereals and products,138.4,135.6,137.5,0.43827611395179655,0.5813953488372103,0.22172949002217113
2018-08-01,Cereals and products,139.2,136.5,138.3,0.5818181818181944,0.5780346820809079,0.6637168141592875
2018-09-01,Cereals and products,139.4,137.0,138.6,0.2169197396963085,0.1436781609195581,0.366300366300365
2018-10-01,Cereals and products,139.3,137.6,138.8,0.14430014430015792,-0.0717360114777632,0.43795620437956373
2018-11-01,Cereals and products,137.1,138.1,137.4,-1.008645533141217,-1.5793251974156597,0.363372093023262
2018-12-01,Cereals and products,137.1,138.5,137.5,0.07278020378456151,0.0,0.2896451846488013
2019-01-01,Cereals and products,136.6,138.3,137.1,-0.2909090909090972,-0.364697301239969,-0.14440433212995485
2019-02-01,Cereals and products,136.8,139.4,137.6,0.3646973012399801,0.14641288433383526,0.7953723788864719
2019-03-01,Cereals and products,136.9,139.7,137.8,0.14534883720931369,0.07309941520468044,0.21520803443326741
2019-04-01,Cereals and products,137.1,140.0,138.0,0.14513788098693414,0.14609203798392478,0.21474588403722628
2019-05-01,Cereals and products,137.4,140.4,138.3,0.21739130434783593,0.2188183807440014,0.28571428571428914
2019-06-01,Cereals and products,137.8,140.7,138.7,0.2892263195950706,0.29112081513829047,0.2136752136751907
2019-07-01,Cereals and products,138.4,141.4,139.3,0.43258832011536796,0.4354136429608024,0.4975124378109541
2019-08-01,Cereals and products,139.2,142.1,140.1,0.5743000717874924,0.5780346820809079,0.4950495049504955
2019-09-01,Cereals and products,140.1,142.7,140.9,0.5710206995003686,0.6465517241379448,0.4222378606615118
2019-10-01,Cereals and products,141.0,143.5,141.8,0.638750887154016,0.6423982869379063,0.560616678346193
2019-11-01,Cereals and products,141.8,144.1,142.5,0.49365303244004455,0.5673758865248235,0.4181184668989424
2019-12-01,Cereals and products,142.8,144.9,143.5,0.7017543859649145,0.7052186177715081,0.5551700208188848
2020-01-01,Cereals and products,143.7,145.6,144.3,0.5574912891986195,0.6302521008403117,0.48309178743961567
2020-02-01,Cereals and products,144.2,146.2,144.8,0.34650034650034467,0.3479471120389599,0.4120879120879106
2020-03-01,Cereals and products,144.4,146.5,145.1,0.2071823204419676,0.1386962552011317,0.20519835841315004
2020-04-01,Cereals and products,147.2,151.8,148.7,2.4810475534114307,1.9390581717451338,3.617747440273056
2020-05-01,Cereals and products,147.5,150.4,148.4,-0.20174848688633285,0.20380434782609758,-0.9222661396574461
2020-06-01,Cereals and products,148.2,152.7,149.6,0.8086253369272267,0.4745762711864332,1.5292553191489144
2020-07-01,Cereals and products,147.6,151.6,148.9,-0.4679144385026701,-0.4048582995951344,-0.7203667321545426
2020-08-01,Cereals and products,146.9,151.5,148.4,-0.335795836131636,-0.4742547425474197,-0.06596306068601399
2020-09-01,Cereals and products,146.0,150.6,147.5,-0.60646900269542,-0.6126616746085833,-0.5940594059405946
2020-10-01,Cereals and products,145.4,149.7,146.8,-0.4745762711864332,-0.4109589041095818,-0.5976095617529875
2020-11-01,Cereals and products,144.6,149.0,146.0,-0.5449591280654031,-0.5502063273727709,-0.4676018704074747
2020-12-01,Cereals and products,143.4,148.0,144.9,-0.7534246575342407,-0.8298755186721962,-0.6711409395973145
2021-01-01,Cereals and products,142.9,147.8,144.5,-0.2760524499655026,-0.34867503486750717,-0.13513513513512265
2021-02-01,Cereals and products,142.8,147.6,144.3,-0.13840830449826091,-0.06997900629810427,-0.13531799729364913
2021-03-01,Cereals and products,142.5,147.5,144.1,-0.1386001386001534,-0.21008403361345573,-0.06775067750677266
2021-04-01,Cereals and products,142.7,147.6,144.3,0.1387925052047212,0.140350877192974,0.06779661016949046
2021-05-01,Cereals and products,145.1,148.8,146.3,1.3860013860013787,1.6818500350385568,0.8130081300813163
